customer_id,name,dob,kyc_status,email,phone,address,country
C-1002,Latoya Robbins,1959-02-13,PENDING,pwilkerson@yahoo.com,4238849696,"710 Eric Estate, Carlsonfurt, Pa 61849",MALTA
C-1003,Juan Dunlap,1990-12-11,BLOCKED,kayla51@graham-chavez.com,281489325288095,"4303 Christopher Oval, Port Amandaberg, Tn 62797",YEMEN
C-1004,Deborah Brennan,1973-06-12,BLOCKED,jenniferross@santos.com,3150983930,"10518 Joshua Oval, New David, Ok 76026",LEBANON
C-1005,John Russell,1951-01-26,BLOCKED,agomez@shields-brown.com,6513338726,"17810 Tanya Terrace Apt. 267, Lewisfurt, Ar 22080",HONG KONG
C-1008,Larry Robbins,1958-07-04,VERIFIED,dking@gmail.com,164005242786801,"059 Russell Canyon, Michaelton, Mi 28036",PITCAIRN ISLANDS
C-1012,Melissa Marshall,1982-08-01,BLOCKED,bryantlaurie@schmidt.info,18687277434873,"434 Flores Plains, East Edwardfurt, Fl 93092",CROATIA
C-1013,Jason Daniels,1972-12-11,BLOCKED,marissaprice@shah.org,70546688937346,"6272 Rebecca Ramp Apt. 162, Whiteview, Md 28243",KOREA
C-1015,Michael Rubio,1971-08-23,BLOCKED,vargasmaria@garcia.org,9058651850,"65726 Jessica Run Suite 987, Grahamshire, Md 32678",SWITZERLAND
C-1016,Diana Hayes,1995-09-21,VERIFIED,frogers@yahoo.com,7354549480,"36783 Brewer Overpass, Mcguireland, In 53506",PUERTO RICO
C-1017,Matthew Wood,1982-04-25,BLOCKED,jbarajas@yahoo.com,7444313518233,"989 Hooper Village Apt. 435, West Alexis, Dc 36455",ARUBA
C-1018,Kristen Terry,1953-03-30,VERIFIED,salasaudrey@yahoo.com,75204711671902,"31869 Kimberly Light Suite 749, Torreston, Wa 13507",YEMEN
C-1019,Lori Baker,1950-03-05,PENDING,glennjones@ortiz.org,40344713493618,"2102 Larson Views, Scottmouth, Me 92216",IRAQ
C-1021,Jason Simpson,1989-09-27,BLOCKED,gibsonleonard@yahoo.com,6808760385,"703 Dunn Heights Suite 710, Lake Eric, Al 72885",IRELAND
C-1022,Willie Durham,1976-01-20,VERIFIED,tyronemoran@thornton.info,7826398214,"8404 Monroe Prairie Suite 278, Reedside, Nd 49942",KOREA
C-1023,Sheila Pollard,1960-11-25,PENDING,melissajenkins@yahoo.com,00176627028951718,"Psc 0262, Box 1745, Apo Ap 91295",INDONESIA
C-1024,Sarah Phelps,2003-02-17,PENDING,courtney78@gmail.com,11343161172400,"5562 Amanda Port, East Gregory, Ms 81727",PITCAIRN ISLANDS
C-1025,Thomas Thomas,1976-01-12,BLOCKED,ascott@yahoo.com,82175946474367,"594 Johnson Village Suite 409, New Julieport, In 80070",SPAIN
C-1026,Mark Oliver,1990-10-09,BLOCKED,bergerdebbie@kramer-johnson.com,00121456232858842,"5171 Karen Fork Suite 851, Smithside, Nh 48812",PERU
C-1027,Deborah James,1988-02-08,PENDING,leonardthomas@hotmail.com,15931746120,"Usnv Ferrell, Fpo Ae 13240",DOMINICA
C-1030,John Morales,1991-05-05,VERIFIED,cjoseph@lam.org,1249985698,"18367 Robert Views Suite 661, Ronaldview, Fl 90524",UZBEKISTAN
C-1032,Charles Sandoval,1949-05-21,PENDING,davisalyssa@barnes-peterson.com,59910229014767,"3815 Rodriguez Springs Suite 840, South Tracey, Al 27295",GABON
C-1033,Pamela Duran,1964-05-07,PENDING,smithjulie@gmail.com,6838851606,"9696 Roberts Lodge, West Georgemouth, Ut 47929",BENIN
C-1034,Brian Graham,1971-11-26,PENDING,vharrell@walker-maxwell.com,188355231243292,"77997 Lin Road, Edwardland, Nv 83257",GABON
C-1036,Douglas Ortiz,1967-09-05,VERIFIED,cameron18@hughes.org,5192546291,"528 Debbie Manors Suite 054, East Matthew, Nm 25667",CZECH REPUBLIC
C-1038,Shelly Spencer,1951-08-19,VERIFIED,christopher24@whitehead-hernandez.biz,3750606853,"3051 Moody Dam, West Samanthafort, Dc 92977",LATVIA
C-1040,Katie Mcneil,1982-05-12,PENDING,cmarks@hughes.com,5319520585,"772 Bryan Trail, Johnsonborough, Wy 26645",TURKS AND CAICOS ISLANDS
C-1041,Timothy Robertson,2000-02-21,PENDING,benjamin34@yahoo.com,001054156676527758,"616 Amy Islands, North Markport, Nv 79487",SAINT BARTHELEMY
C-1042,Michael Bell,1947-07-14,BLOCKED,yhill@gmail.com,6582029702,"6909 Erika Land Suite 719, New Michael, Sd 37029",EGYPT
C-1045,Courtney Meza,1979-12-18,BLOCKED,kingcynthia@hotmail.com,2498182992299,"10943 Montgomery Burgs, Smallside, Sd 40097",LIBERIA
C-1046,Robert Sullivan,1975-07-07,PENDING,moorerobert@harris-lawson.com,0015562588153714,"04696 Sydney Estate, Sarahmouth, Wv 21386",LUXEMBOURG
C-1048,Gina Mcmillan,1996-01-10,BLOCKED,carriemorales@williams.com,87298259526949,"947 Micheal Spring Apt. 694, New Thomasshire, In 95056",AUSTRIA
C-1050,Raymond Le,1988-06-05,VERIFIED,plee@yahoo.com,14344375758,"Usnv Roberts, Fpo Ap 89187",MAURITIUS
C-1051,William Cardenas,1997-04-04,PENDING,bobby15@douglas-burgess.com,8484219933,"301 Rivera Mountains, Lake Kellitown, Ga 53835",PALAU
C-1052,Sherry Woods,1958-03-23,VERIFIED,justin01@hotmail.com,0013802620672,"Usnv Mcdowell, Fpo Ae 39611",MONGOLIA
C-1053,Tanya Rogers,1975-07-27,PENDING,melissamcdonald@gmail.com,5274205493,"8516 Jack Dam Suite 530, Patrickmouth, Ky 43705",GABON
C-1054,Laura Green,1969-02-12,BLOCKED,contrerassteven@sullivan.com,0011459332727956,"339 Alicia Pines Suite 191, Port Amyhaven, Ok 70842",CANADA
C-1055,Scott Ramos,1990-12-11,PENDING,gdavis@stokes-chavez.net,790874064039106,"017 Justin Falls, Port Darlene, Sd 55598",HOLY SEE (VATICAN CITY STATE)
C-1056,Janet Kane Dvm,1970-03-19,PENDING,desireebailey@haney.net,3004786863,"43106 John Cliff Apt. 907, East Joyfurt, In 71248",CUBA
C-1057,Patty Taylor,1964-05-02,BLOCKED,barbara53@walter-odom.net,6440892687,"685 Russell Hills Suite 287, Port Jeremiah, Vt 19421",SRI LANKA
C-1058,Anthony Gutierrez,1972-12-29,PENDING,nsanchez@lucas-nielsen.com,8304699013,"3540 Sharon Streets, Lake Yvonnefort, Ia 91678",NETHERLANDS ANTILLES
C-1060,Gail Hines,1977-11-25,BLOCKED,yjackson@yahoo.com,2872808010,"31203 Brooks River Suite 700, Smithhaven, Ky 70721",FRANCE
C-1061,Robert Craig,1999-07-06,BLOCKED,hullalice@lee.com,4615679334101,"700 Christopher Vista Suite 591, East Jasonshire, Ky 06603",UZBEKISTAN
C-1062,Timothy Lam,1982-12-31,BLOCKED,sarahedwards@matthews.biz,4293968562,"501 Hall Club, Cassiefurt, Md 04384",NORFOLK ISLAND
C-1063,Willie Henry,1968-11-11,VERIFIED,llopez@hotmail.com,19431142626551,"5412 Jacob Mission Suite 101, Angelamouth, Ms 02118",FRENCH GUIANA
C-1064,Richard Hardy,1982-09-23,VERIFIED,ginajackson@turner-snyder.com,6464715437,"1240 Cook River, Brockmouth, Ma 56942",SURINAME
C-1065,Marilyn Wheeler,1965-02-04,PENDING,timothythompson@yahoo.com,479356465193982,"737 Guerra Cliff, Chambersberg, Me 32223",EL SALVADOR
C-1066,Michelle Mccormick,1949-09-07,BLOCKED,iaguilar@hotmail.com,0016805891135290,"6101 Walker Summit Apt. 756, Bartonshire, Ny 20259",GUATEMALA
C-1067,Mrs. Elizabeth Knapp Md,2001-03-22,PENDING,larry73@webb.info,140105123828258,"62266 Jo Flat Suite 966, Lake Jasonview, Vt 08701",MONTSERRAT
C-1069,Zoe Peters,1977-12-21,BLOCKED,jacobwilkinson@hotmail.com,5072368876,"772 Ariana Underpass Apt. 404, New Keith, Nh 74641",SAMOA
C-1071,Joshua Morris,1992-07-24,PENDING,ashley81@gmail.com,001604223253672946,"168 Neal Wells, Shawnfort, Or 00825",TRINIDAD AND TOBAGO
C-1072,Morgan Simon,1975-11-06,VERIFIED,flynnraymond@yahoo.com,7454589297,"17012 Bryant Meadow, Lake Regina, Sd 40067",CAYMAN ISLANDS
C-1073,Sherri Davis,1969-03-06,PENDING,watsonrebecca@gmail.com,6436110371,"700 Montoya Wall, Bensonfort, In 50710",BENIN
C-1075,Dominique Pugh,1946-06-23,BLOCKED,aprilhicks@hotmail.com,40376137918055,"8271 Brenda Bridge Suite 300, Hunterhaven, Mt 56019",REUNION
C-1076,Martin Medina,1955-01-15,PENDING,collinswilliam@gmail.com,8569146303,"79904 David Station Apt. 027, Alexandraview, Mn 17138",SAN MARINO
C-1077,Debra Tanner,1997-02-23,BLOCKED,lindsay48@baker.com,78507925241913,"03075 Mora Fall, New Lindachester, Md 33041",ISRAEL
C-1078,Erica Mckenzie,1983-07-18,VERIFIED,shawrachel@gmail.com,8061744518,"49493 Richardson Park Apt. 832, South Andrewside, Sc 91394",TURKEY
C-1079,George Blake,1970-04-04,VERIFIED,harristonya@yahoo.com,02410386571918,"99062 Kelly Vista Suite 655, Nelsonland, Dc 77139",BOTSWANA
C-1080,Christopher Owens,1972-04-24,VERIFIED,tami37@ford-phelps.com,4903521356,"2067 Cody Cove Apt. 100, East James, Mn 90453",NIUE
C-1081,Angela Willis,2007-01-30,BLOCKED,osbornjames@ramos.com,0702966706,"3244 Stephenson Bypass, Lake Kenneth, Oh 63288",BAHAMAS
C-1082,James Barnes,1988-05-20,PENDING,mayokimberly@castillo-harrington.com,0018564205930,"Psc 4078, Box 5932, Apo Ae 32988",PALESTINIAN TERRITORY
C-1083,Joseph Moody,1994-10-22,BLOCKED,barbaramcgrath@kelly-combs.com,3955905992,"8427 Christopher Fort, North Alisha, Ma 80996",COOK ISLANDS
C-1084,Gina Thompson,1999-04-04,BLOCKED,johnsonbrenda@gmail.com,001185156915452267,"895 Elizabeth Via, South Kurt, La 17192",CHRISTMAS ISLAND
C-1085,Tiffany Fry,1971-04-20,PENDING,carriemccall@walker.com,135521570433154,"67626 Macias Keys, Garciafort, Ok 85824",SENEGAL
C-1086,Carla Jones,2002-03-16,VERIFIED,andrew41@peterson.com,00118159970629620,"68844 Young Causeway, Armstrongfort, Ar 47795",AFGHANISTAN
C-1087,Edward Stanley,1985-06-30,VERIFIED,collinclark@hotmail.com,17146774186256,"47743 Elliott Drive Apt. 158, Arellanoshire, Oh 08494",TAJIKISTAN
C-1088,Joseph Sheppard,1991-05-29,PENDING,thomasmiller@hotmail.com,8989921722,"Unit 3206 Box 1632, Dpo Ap 34302",GHANA
C-1089,Suzanne Jones,1971-01-23,BLOCKED,melissa87@gmail.com,0019986162299911,"8564 Pena Ports, Johnsonview, Fl 81535",NETHERLANDS
C-1090,Jennifer Foster,2004-06-18,BLOCKED,brandonalvarez@yahoo.com,0544471324754,"73678 Nicholson Passage, North Larry, Mo 18280",SLOVAKIA (SLOVAK REPUBLIC)
C-1091,Sherry Johnson,1957-10-08,VERIFIED,wrightstephen@bush-hill.info,610357972798552,"140 Williams Walk Apt. 333, Denisehaven, Wi 89918",ALGERIA
C-1095,Jeffrey Patterson,1977-02-19,BLOCKED,johnsonjames@yahoo.com,5830033542,"10447 Hamilton Spur Apt. 575, East Stacy, Mo 03007",DENMARK
C-1096,William Clark,1946-02-21,BLOCKED,richardsondebra@brooks.com,001890901001676184,"04618 Dean Squares, South Maria, Ny 94711",NICARAGUA
C-1097,Brian Rodriguez,1958-03-03,VERIFIED,marie35@ortiz.com,0017530011972181,"3744 Williams Via, Port Benjamin, Mn 89206",GERMANY
C-1099,Angel Green,1966-01-13,VERIFIED,tiffanysantiago@stone-watts.org,6375628900,"772 Karen Islands, West Tara, Ny 29691",MAYOTTE
C-1100,Jennifer Young,1975-11-22,VERIFIED,fmiller@yahoo.com,170166088019948,"5037 Castro River Suite 571, Port Donnatown, Mi 83556",SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
C-1101,Joseph Park,1947-10-07,VERIFIED,ttaylor@griffith.com,6373516091,"9827 Alyssa Causeway Suite 978, Lake Beth, Dc 14074",ICELAND
