customer_id,name,dob,kyc_status,email,phone,address,city,state,zip,country
C-1001,Alexander Smith,08/02/1992,VERIFIED,alexander.smith@gmail.com,+1 896 772 7428,"6570 Main St, Phoenix, AZ 85004",Phoenix,AZ,85004,United States
C-1002,Sophia Garcia,1985-07-04,VERIFIED,sophia.garcia@yahoo.com,+1 555 816 6966,"7644 Park Ln, Houston, TX 77002",Houston,TX,77002,United States
C-1003,Elijah Hernandez,1978-10-02,VERIFIED,elijah.hernandez@gmail.com,2939125278,"3660 Elm St, Minneapolis, MN 55415",Minneapolis,MN,55415,United States
C-1004,Lucas Martin,1972-07-04,VERIFIED,lucas.martin@outlook.com,5526576726,"7711 Pine St, St. Petersburg, FL 33701",St. Petersburg,FL,33701,United States
C-1005,Evelyn Smith,1985-11-11,BLOCKED,evelyn.smith@yahoo.com,+1 939 605 8588,"  2612 Oak Rd, Seattle, WA 98104 ",Seattle,WA,98104,United States
C-1006,Evelyn Martin,1986-06-09,VERIFIED,evelyn.MArtin@IClOUd.Com,(395) 483-1691,"1048 Park Ln, Seattle, WA 98104",Seattle,WA,98104,United States
C-1007,Evelyn Taylor,11/13/1979,VERIFIED,evelyn.taylor@outlook.com,(658) 340-7826,"3952 Sunset Dr, San Antonio, TX 78205",San Antonio,TX,78205,United States
C-1008,Elijah Jones,11/08/1987,VERIFIED,elijah.jones7071@yahoo.com,6314006842,"5547 Elm St, Atlanta, GA 30303",Atlanta,GA,30303,United States
C-1009,Ava Hernandez,1981-07-04,VERIFIED,ava.hernandez2123@yahoo.com,892-464-7651,"8113 Cedar Blvd, Denver, CO 80202",Denver,CO,80202,United States
C-1010, William Wilson  ,1961-06-30,VERIFIED,william.wilson@gmail.com,(474) 836-3117,"1803 Oak Rd, Cleveland, OH 44114",Cleveland,OH,44114,United States
C-1011,Alexander Martinez,1973-06-20,VERIFIED,alexander.martinez@gmail.com,(686) 451-8324,"8120 Elm St, Denver, CO 80202",Denver,CO,80202,United States
C-1012,Amelia Martinez,1974-04-22,PENDING,amelia.martinez@gmail.com,2562867240,"751 Park Ln, Atlanta, GA 30303",Atlanta,GA,30303,United States
C-1013,Liam Rodriguez,1984-07-05,VERIFIED,liam.rodriguez@outlook.com,(405) 454-9269,"2367 Sunset Dr, Jacksonville, FL 32202",Jacksonville,FL,32202,United States
C-1014,Alexander Martinez,1975-11-20,VERIFIED,alexander.martinez@outlook.com,(833) 858-3371,"8414 Broadway, Portland, OR 97204",Portland,OR,97204,United States
