sanction_id,list_name,entity_name,risk_level
S-6001,FINCEN-314a,Harper Jackson,HIGH
S-6002,OFAC-SDN,Elijah Taylor,MEDIUM
S-6003,FINCEN-314a,Elijah Jackson,LOW
S-6004,PEP-LIST,Sophia Johnson,MEDIUM
S-6005,OFAC-SDN,Evelyn Wilson,HIGH
S-6006,PEP-LIST,James Miller,HIGH
S-6007,FINCEN-314a,Lucas Wilson,LOW
S-6008,OFAC-SDN,Mia Davis,LOW
S-6009,FINCEN-314a,Lucas Moore,MEDIUM
S-6010,PEP-LIST,Noah Davis,LOW
S-6011,OFAC-SDN,Henry Martinez,HIGH
S-6012,FINCEN-314a,James Jones,MEDIUM
S-6013,PEP-LIST,Ava Martinez,MEDIUM
S-6014,PEP-LIST,Charlotte Jackson,LOW
S-6015,PEP-LIST,Olivia Garcia,LOW
S-6016,PEP-LIST,Mia Wilson,LOW
S-6017,FINCEN-314a,Olivia Brown,LOW
S-6018,FINCEN-314a,Elijah Thomas,HIGH
S-6019,PEP-LIST,Lucas Williams,HIGH
S-6020,OFAC-SDN,Ava Brown,MEDIUM
S-6021,OFAC-SDN,Ava Moore,MEDIUM
S-6022,OFAC-SDN,Mia Gonzalez,MEDIUM
S-6023,FINCEN-314a,Benjamin Brown,LOW
S-6024,OFAC-SDN,Sophia Hernandez,HIGH
S-6025,PEP-LIST,Emma Anderson,MEDIUM
S-6026,PEP-LIST,Liam Anderson,MEDIUM
S-6027,OFAC-SDN,Olivia Wilson,MEDIUM
S-6028,FINCEN-314a,Evelyn Martinez,MEDIUM
S-6029,FINCEN-314a,Sophia Lopez,MEDIUM
S-6030,OFAC-SDN,Mia Gonzalez,MEDIUM
S-6031,FINCEN-314a,Henry Rodriguez,MEDIUM
S-6032,OFAC-SDN,Lucas Rodriguez,HIGH
S-6033,FINCEN-314a,Benjamin Lopez,LOW
S-6034,FINCEN-314a,Noah Martinez,LOW
S-6035,PEP-LIST,Olivia Wilson,LOW
S-6036,OFAC-SDN,Ava Brown,HIGH
S-6037,PEP-LIST,Lucas Davis,MEDIUM
S-6038,FINCEN-314a,Charlotte Taylor,LOW
S-6039,OFAC-SDN,Liam Jackson,MEDIUM
S-6040,PEP-LIST,Lucas Taylor,HIGH
S-6041,FINCEN-314a,Charlotte Brown,LOW
S-6042,PEP-LIST,Oliver Martinez,HIGH
