customer_id,name,dob,kyc_status,email,phone,address,country
C-1000,Allison Hill,11/03/1959,ACTIVE,rhodespatricia@garza.com,338-908-3863,"26542 Susan Junction Apt. 161, Melanieview, AZ 96148",Kuwait
C-1001,Valerie Gray,03/21/1982,ACTIVE,barbara10@hotmail.com,413.164.7525,"192 Frank Light Suite 835, East Lydiamouth, KY 09176",Croatia
C-1002,Latoya Robbins,02/13/1959,PENDING,pwilkerson@yahoo.com,(423)884-9696,"710 Eric Estate, Carlsonfurt, PA 61849",Malta
C-1003,Juan Dunlap,12/11/1990,BLOCKED,kayla51@graham-chavez.com,281.489.3252x88095,"4303 Christopher Oval, Port Amandaberg, TN 62797",Yemen
C-1004,Deborah Brennan,06/12/1973,BLOCKED,jenniferross@santos.com,315.098.3930,"10518 Joshua Oval, New David, OK 76026",Lebanon
C-1005,John Russell,01/26/1951,BLOCKED,agomez@shields-brown.com,6513338726,"17810 Tanya Terrace Apt. 267, Lewisfurt, AR 22080",Hong Kong
C-1006,James House,01/29/1998,ACTIVE,rodney87@gmail.com,430.980.5009,"81219 Emma Freeway, Wilsonshire, OR 78425",Armenia
C-1007,Jennifer Silva,03/23/1980,ACTIVE,james53@yahoo.com,(247)510-7991x1838,"35427 Carr Valley Apt. 841, West Darrell, WA 73013",Cape Verde
C-1008,Larry Robbins,07/04/1958,VERIFIED,dking@gmail.com,+1-640-052-4278x6801,"059 Russell Canyon, Michaelton, MI 28036",Pitcairn Islands
C-1009,Brian Deleon,10/25/2004,ACTIVE,sarayoung@gmail.com,(602)563-4216,"37543 Andrew Fields Suite 541, Michaelhaven, TX 70783",Greenland
C-1010,Ashley Waller,10/20/1956,ACTIVE,rodriguezryan@hotmail.com,698-169-3406x08835,"514 Estrada Islands Suite 482, South Elizabeth, TX 98560",United Kingdom
C-1011,Keith Sullivan,05/21/2001,ACTIVE,justin69@pena.com,721.489.5134x33200,"176 Jennifer Lights Suite 632, Port Michelleville, NE 29184",Christmas Island
C-1012,Melissa Marshall,08/01/1982,BLOCKED,bryantlaurie@schmidt.info,+1-868-727-7434x873,"434 Flores Plains, East Edwardfurt, FL 93092",Croatia
C-1013,Jason Daniels,12/11/1972,BLOCKED,marissaprice@shah.org,(705)466-8893x7346,"6272 Rebecca Ramp Apt. 162, Whiteview, MD 28243",Korea
C-1014,Philip Gray,10/29/1995,ACTIVE,mary70@hotmail.com,+1-053-100-3309,"1937 Wang Expressway, Port Loriport, OR 03866",Vanuatu
C-1015,Michael Rubio,08/23/1971,BLOCKED,vargasmaria@garcia.org,905-865-1850,"65726 Jessica Run Suite 987, Grahamshire, MD 32678",Switzerland
C-1016,Diana Hayes,09/21/1995,VERIFIED,frogers@yahoo.com,(735)454-9480,"36783 Brewer Overpass, Mcguireland, IN 53506",Puerto Rico
C-1017,Matthew Wood,04/25/1982,BLOCKED,jbarajas@yahoo.com,(744)431-3518x233,"989 Hooper Village Apt. 435, West Alexis, DC 36455",Aruba
C-1018,Kristen Terry,03/30/1953,VERIFIED,salasaudrey@yahoo.com,752.047.1167x1902,"31869 Kimberly Light Suite 749, Torreston, WA 13507",Yemen
C-1019,Lori Baker,03/05/1950,PENDING,glennjones@ortiz.org,403.447.1349x3618,"2102 Larson Views, Scottmouth, ME 92216",Iraq
C-1020,Kathryn Snyder,02/15/1950,ACTIVE,mnavarro@johnson-perez.org,001-049-027-8742,"Unit 6717 Box 5655, DPO AP 14211",Togo
C-1021,Jason Simpson,09/27/1989,BLOCKED,gibsonleonard@yahoo.com,680-876-0385,"703 Dunn Heights Suite 710, Lake Eric, AL 72885",Ireland
C-1022,Willie Durham,01/20/1976,VERIFIED,tyronemoran@thornton.info,782.639.8214,"8404 Monroe Prairie Suite 278, Reedside, ND 49942",Korea
C-1023,Sheila Pollard,11/25/1960,PENDING,melissajenkins@yahoo.com,001-766-270-2895x1718,"PSC 0262, Box 1745, APO AP 91295",Indonesia
C-1024,Sarah Phelps,02/17/2003,PENDING,courtney78@gmail.com,+1-134-316-1172x400,"5562 Amanda Port, East Gregory, MS 81727",Pitcairn Islands
C-1025,Thomas Thomas,01/12/1976,BLOCKED,ascott@yahoo.com,821-759-4647x4367,"594 Johnson Village Suite 409, New Julieport, IN 80070",Spain
C-1026,Mark Oliver,10/09/1990,BLOCKED,bergerdebbie@kramer-johnson.com,001-214-562-3285x8842,"5171 Karen Fork Suite 851, Smithside, NH 48812",Peru
C-1027,Deborah James,02/08/1988,PENDING,leonardthomas@hotmail.com,+1-593-174-6120,"USNV Ferrell, FPO AE 13240",Dominica
C-1028,Brandy Chavez,04/12/1990,ACTIVE,nicolepena@yahoo.com,+1-640-537-7351x585,"17139 Brent Isle Apt. 293, Port Kathyborough, IL 31040",Greenland
C-1029,Rachel Carlson,07/09/1963,ACTIVE,amberlindsey@guerrero.com,5395024026,"7589 Shannon Forges, Lake Kristahaven, NH 84824",Antarctica (the territory South of 60 deg S)
C-1030,John Morales,05/05/1991,VERIFIED,cjoseph@lam.org,(124)998-5698,"18367 Robert Views Suite 661, Ronaldview, FL 90524",Uzbekistan
C-1031,Brandon Miller,01/15/1974,ACTIVE,lisa80@frye.biz,(604)945-1983x273,"514 Lindsay Vista Apt. 940, West Jacqueline, MA 46510",Albania
C-1032,Charles Sandoval,05/21/1949,PENDING,davisalyssa@barnes-peterson.com,599-102-2901x4767,"3815 Rodriguez Springs Suite 840, South Tracey, AL 27295",Gabon
C-1033,Pamela Duran,05/07/1964,PENDING,smithjulie@gmail.com,(683)885-1606,"9696 Roberts Lodge, West Georgemouth, UT 47929",Benin
C-1034,Brian Graham,11/26/1971,PENDING,vharrell@walker-maxwell.com,188.355.2312x43292,"77997 Lin Road, Edwardland, NV 83257",Gabon
C-1035,Leslie Bell,09/13/1949,ACTIVE,dhayes@yahoo.com,119-986-7980x7935,"71518 Benjamin Station, Ritterhaven, RI 21308",Haiti
C-1036,Douglas Ortiz,09/05/1967,VERIFIED,cameron18@hughes.org,(519)254-6291,"528 Debbie Manors Suite 054, East Matthew, NM 25667",Czech Republic
C-1037,Mrs. Elizabeth French DDS,05/20/1981,ACTIVE,nancy92@bennett.org,(706)537-9473,"3597 Hammond Tunnel Suite 886, Port James, DC 33269",Austria
C-1038,Shelly Spencer,08/19/1951,VERIFIED,christopher24@whitehead-hernandez.biz,375-060-6853,"3051 Moody Dam, West Samanthafort, DC 92977",Latvia
C-1039,Aaron Miller,01/25/1962,ACTIVE,anaacosta@henderson.com,3697117980,"246 Christina Garden, Lopezland, MN 09371",Zimbabwe
C-1040,Katie Mcneil,05/12/1982,PENDING,cmarks@hughes.com,531-952-0585,"772 Bryan Trail, Johnsonborough, WY 26645",Turks and Caicos Islands
C-1041,Timothy Robertson,02/21/2000,PENDING,benjamin34@yahoo.com,001-054-156-6765x27758,"616 Amy Islands, North Markport, NV 79487",Saint Barthelemy
C-1042,Michael Bell,07/14/1947,BLOCKED,yhill@gmail.com,658-202-9702,"6909 Erika Land Suite 719, New Michael, SD 37029",Egypt
C-1043,Allison Lopez,11/19/1979,ACTIVE,greenjorge@yahoo.com,947.312.1727,"Unit 5518 Box 8442, DPO AP 93504",Vanuatu
C-1044,Carrie Ward,11/29/1959,ACTIVE,laurayoung@johnson-spencer.com,829.114.6786x691,"177 Anderson Village Apt. 268, Port Davidberg, GA 21730",Gibraltar
C-1045,Courtney Meza,12/18/1979,BLOCKED,kingcynthia@hotmail.com,249-818-2992x299,"10943 Montgomery Burgs, Smallside, SD 40097",Liberia
C-1046,Robert Sullivan,07/07/1975,PENDING,moorerobert@harris-lawson.com,001-556-258-8153x714,"04696 Sydney Estate, Sarahmouth, WV 21386",Luxembourg
C-1047,Julie Koch DDS,10/12/1950,ACTIVE,nlevy@hotmail.com,(004)797-4801x624,"0609 Michael Heights Apt. 687, Marciaville, CT 52130",Holy See (Vatican City State)
C-1048,Gina Mcmillan,01/10/1996,BLOCKED,carriemorales@williams.com,872.982.5952x6949,"947 Micheal Spring Apt. 694, New Thomasshire, IN 95056",Austria
C-1049,Carolyn Fuller,10/28/1986,ACTIVE,lorraineallen@hotmail.com,001-130-756-2636x897,"283 Bolton Neck, Edwardsburgh, ND 45370",Mauritius
C-1050,Raymond Le,06/05/1988,VERIFIED,plee@yahoo.com,+1-434-437-5758,"USNV Roberts, FPO AP 89187",Mauritius
C-1051,William Cardenas,04/04/1997,PENDING,bobby15@douglas-burgess.com,848.421.9933,"301 Rivera Mountains, Lake Kellitown, GA 53835",Palau
C-1052,Sherry Woods,03/23/1958,VERIFIED,justin01@hotmail.com,001-380-262-0672,"USNV Mcdowell, FPO AE 39611",Mongolia
C-1053,Tanya Rogers,07/27/1975,PENDING,melissamcdonald@gmail.com,527-420-5493,"8516 Jack Dam Suite 530, Patrickmouth, KY 43705",Gabon
C-1054,Laura Green,02/12/1969,BLOCKED,contrerassteven@sullivan.com,001-145-933-2727x956,"339 Alicia Pines Suite 191, Port Amyhaven, OK 70842",Canada
C-1055,Scott Ramos,12/11/1990,PENDING,gdavis@stokes-chavez.net,(790)874-0640x39106,"017 Justin Falls, Port Darlene, SD 55598",Holy See (Vatican City State)
C-1056,Janet Kane DVM,03/19/1970,PENDING,desireebailey@haney.net,(300)478-6863,"43106 John Cliff Apt. 907, East Joyfurt, IN 71248",Cuba
C-1057,Patty Taylor,05/02/1964,BLOCKED,barbara53@walter-odom.net,644.089.2687,"685 Russell Hills Suite 287, Port Jeremiah, VT 19421",Sri Lanka
C-1058,Anthony Gutierrez,12/29/1972,PENDING,nsanchez@lucas-nielsen.com,830-469-9013,"3540 Sharon Streets, Lake Yvonnefort, IA 91678",Netherlands Antilles
C-1059,Jennifer Allen,07/15/1966,ACTIVE,powens@yahoo.com,458-771-7535x5609,"48996 Hernandez Isle, South Ashley, NM 72674",Palau
C-1060,Gail Hines,11/25/1977,BLOCKED,yjackson@yahoo.com,(287)280-8010,"31203 Brooks River Suite 700, Smithhaven, KY 70721",France
C-1061,Robert Craig,07/06/1999,BLOCKED,hullalice@lee.com,(461)567-9334x101,"700 Christopher Vista Suite 591, East Jasonshire, KY 06603",Uzbekistan
C-1062,Timothy Lam,12/31/1982,BLOCKED,sarahedwards@matthews.biz,429-396-8562,"501 Hall Club, Cassiefurt, MD 04384",Norfolk Island
C-1063,Willie Henry,11/11/1968,VERIFIED,llopez@hotmail.com,(194)311-4262x6551,"5412 Jacob Mission Suite 101, Angelamouth, MS 02118",French Guiana
C-1064,Richard Hardy,09/23/1982,VERIFIED,ginajackson@turner-snyder.com,(646)471-5437,"1240 Cook River, Brockmouth, MA 56942",Suriname
C-1065,Marilyn Wheeler,02/04/1965,PENDING,timothythompson@yahoo.com,479-356-4651x93982,"737 Guerra Cliff, Chambersberg, ME 32223",El Salvador
C-1066,Michelle Mccormick,09/07/1949,BLOCKED,iaguilar@hotmail.com,001-680-589-1135x290,"6101 Walker Summit Apt. 756, Bartonshire, NY 20259",Guatemala
C-1067,Mrs. Elizabeth Knapp MD,03/22/2001,PENDING,larry73@webb.info,140-105-1238x28258,"62266 Jo Flat Suite 966, Lake Jasonview, VT 08701",Montserrat
C-1068,Shane Lopez,11/01/1966,ACTIVE,qwilson@rose-fowler.org,(969)155-7924x9912,"1252 Barnes Dam, Hendersonfort, ND 91390",Uruguay
C-1069,Zoe Peters,12/21/1977,BLOCKED,jacobwilkinson@hotmail.com,5072368876,"772 Ariana Underpass Apt. 404, New Keith, NH 74641",Samoa
C-1070,Kathleen Dixon,08/16/1983,ACTIVE,kimberly58@wolf.net,613.407.4517,"39596 Christina Tunnel, Port Jamie, OK 46483",Marshall Islands
C-1071,Joshua Morris,07/24/1992,PENDING,ashley81@gmail.com,001-604-223-2536x72946,"168 Neal Wells, Shawnfort, OR 00825",Trinidad and Tobago
C-1072,Morgan Simon,11/06/1975,VERIFIED,flynnraymond@yahoo.com,745.458.9297,"17012 Bryant Meadow, Lake Regina, SD 40067",Cayman Islands
C-1073,Sherri Davis,03/06/1969,PENDING,watsonrebecca@gmail.com,6436110371,"700 Montoya Wall, Bensonfort, IN 50710",Benin
C-1074,Ashley Edwards,08/08/2004,ACTIVE,patrickli@gmail.com,+1-218-909-2753x2697,"21965 Edwards Dam, West Deanna, OH 79275",Nepal
C-1075,Dominique Pugh,06/23/1946,BLOCKED,aprilhicks@hotmail.com,(403)761-3791x8055,"8271 Brenda Bridge Suite 300, Hunterhaven, MT 56019",Reunion
C-1076,Martin Medina,01/15/1955,PENDING,collinswilliam@gmail.com,(856)914-6303,"79904 David Station Apt. 027, Alexandraview, MN 17138",San Marino
C-1077,Debra Tanner,02/23/1997,BLOCKED,lindsay48@baker.com,785.079.2524x1913,"03075 Mora Fall, New Lindachester, MD 33041",Israel
C-1078,Erica Mckenzie,07/18/1983,VERIFIED,shawrachel@gmail.com,806.174.4518,"49493 Richardson Park Apt. 832, South Andrewside, SC 91394",Turkey
C-1079,George Blake,04/04/1970,VERIFIED,harristonya@yahoo.com,024.103.8657x1918,"99062 Kelly Vista Suite 655, Nelsonland, DC 77139",Botswana
C-1080,Christopher Owens,04/24/1972,VERIFIED,tami37@ford-phelps.com,(490)352-1356,"2067 Cody Cove Apt. 100, East James, MN 90453",Niue
C-1081,Angela Willis,01/30/2007,BLOCKED,osbornjames@ramos.com,070-296-6706,"3244 Stephenson Bypass, Lake Kenneth, OH 63288",Bahamas
C-1082,James Barnes,05/20/1988,PENDING,mayokimberly@castillo-harrington.com,001-856-420-5930,"PSC 4078, Box 5932, APO AE 32988",Palestinian Territory
C-1083,Joseph Moody,10/22/1994,BLOCKED,barbaramcgrath@kelly-combs.com,(395)590-5992,"8427 Christopher Fort, North Alisha, MA 80996",Cook Islands
C-1084,Gina Thompson,04/04/1999,BLOCKED,johnsonbrenda@gmail.com,001-185-156-9154x52267,"895 Elizabeth Via, South Kurt, LA 17192",Christmas Island
C-1085,Tiffany Fry,04/20/1971,PENDING,carriemccall@walker.com,135-521-5704x33154,"67626 Macias Keys, Garciafort, OK 85824",Senegal
C-1086,Carla Jones,03/16/2002,VERIFIED,andrew41@peterson.com,001-181-599-7062x9620,"68844 Young Causeway, Armstrongfort, AR 47795",Afghanistan
